Jugador,Seleccion,Posicion,Minutos,IVO_P90,Pases_P90,Conducciones_P90,Regates_P90,Tiros_P90,Presion_Pct
Guillermo Varela Olivera,Uruguay,LD,292,0.28,28.0,18.2,0.6,0.0,17.1
Haitham Mohammed Asiri,Saudi Arabia,DC,100,-0.0,1.8,1.8,0.0,0.0,50.0
Haji Wright,United States,DC,362,0.15,6.7,6.5,0.0,1.7,36.7
Hakim Ziyech,Morocco,ED,648,0.62,41.7,38.6,4.2,1.5,30.2
Hannibal Mejbri,Tunisia,ED,86,0.0,2.1,0.0,0.0,0.0,0.0
Haris Seferović,Switzerland,DC,275,0.06,4.6,3.6,0.0,0.3,34.6
Harry Kane,England,DC,394,0.48,22.4,24.0,1.6,2.7,42.8
Harry Maguire,England,DFC,421,0.56,87.4,69.7,0.6,1.3,8.9
Harry Souttar,Australia,DFC,368,0.21,39.9,26.7,0.0,0.2,11.7
Harry Wilson,Wales,MC,229,0.31,24.4,16.5,0.0,0.8,21.7
Hassan Khalid Al Heidos,Qatar,MC,197,0.41,35.2,33.4,2.7,0.5,20.4
Hassan Mohammed Al-Tambakti,Saudi Arabia,DFC,198,0.11,22.3,14.1,0.0,0.0,16.2
Hattan Babhir,Saudi Arabia,ED,192,0.02,2.3,1.4,0.0,0.0,0.0
Hee-Chan Hwang,South Korea,MC,188,0.7,27.3,32.6,4.3,2.9,29.3
Henry Josué Martín Mex,Mexico,DC,141,0.24,14.0,14.0,0.0,2.6,43.8
Heung-Min Son,South Korea,EI,382,0.64,28.7,28.3,2.1,2.1,37.3
Hidemasa Morita,Japan,MCD,283,0.34,51.2,39.4,1.0,1.0,29.2
Hiroki Ito,Japan,DFC,94,0.33,60.3,44.0,0.0,0.0,8.3
Hiroki Sakai,Japan,LD,186,0.33,22.3,9.7,1.0,0.5,21.7
Hirving Rodrigo Lozano Bahena,Mexico,ED,259,0.98,25.7,32.7,2.1,2.1,34.4
Homam Alamin Ahmed,Qatar,LI,255,0.19,36.4,25.8,2.1,0.0,28.6
Héctor Alfredo Moreno Herrera,Mexico,DFC,285,0.43,60.3,44.2,0.0,0.3,4.8
Héctor Miguel Herrera López,Mexico,MC,163,0.2,41.4,29.8,1.1,0.0,16.0
Ibrahima Konaté,France,DFC,492,0.27,41.7,35.7,0.0,0.4,6.8
Idrissa Gana Gueye,Senegal,MCO,277,0.31,42.6,34.8,0.6,1.3,24.6
Ikoma Loïs Openda,Belgium,DC,94,0.12,4.8,7.7,1.0,0.0,50.0
Ilias Chair,Morocco,MC,85,0.14,15.9,15.9,1.1,0.0,19.4
Iliman Ndiaye,Senegal,ED,201,0.21,15.7,20.1,4.0,0.9,47.3
In-Beom Hwang,South Korea,MCD,346,0.56,64.2,53.6,1.0,1.6,17.7
Ismaeel Mohammad Mohammad,Qatar,LD,173,0.58,34.9,27.6,0.5,1.0,23.6
Ismael Koné,Canada,MCD,283,0.17,32.4,28.0,0.3,0.0,18.8
Ismail Jakobs,Senegal,LI,342,0.49,41.3,21.3,0.3,0.3,11.7
Ismaïla Sarr,Senegal,EI,351,0.7,20.8,26.2,3.3,2.6,46.1
